movie_name,year,genres,rating
Fast X,2023,"Action, Crime, Mystery",
Glass Onion,2022,"Comedy, Crime, Drama",7.2
Infinity Pool,2023,"Crime, Horror, Mystery",6.5
The Pale Blue Eye,2022,"Crime, Horror, Mystery",6.6
Infiesto,2023,"Crime, Drama, Thriller",5.5
The Batman,2022,"Action, Crime, Drama",7.8
The Godfather,1972,"Crime, Drama",9.2
Knives Out,2019,"Comedy, Crime, Drama",7.9
Vadh,2022,"Crime, Drama, Thriller",7.1
The Wolf of Wall Street,2013,"Biography, Comedy, Crime",8.2
The Unbearable Weight of Massive Talent,2022,"Action, Comedy, Crime",7.0
Pulp Fiction,1994,"Crime, Drama",8.9
The Covenant,2023,"Action, Crime, Thriller",
The Dark Knight,2008,"Action, Crime, Drama",9.0
American Psycho,2000,"Crime, Drama, Horror",7.6
John Wick: Chapter 4,2023,"Action, Crime, Thriller",
Decision to Leave,2022,"Crime, Drama, Mystery",7.3
Little Dixie,2023,"Action, Crime, Thriller",4.8
An Action Hero,2022,"Action, Comedy, Crime",7.2
Killers of the Flower Moon,,"Crime, Drama, History",
Luther: The Fallen Sun,2023,"Crime, Drama, Mystery",
John Wick,2014,"Action, Crime, Thriller",7.4
The Gentlemen,2019,"Action, Comedy, Crime",7.8
F9: The Fast Saga,2021,"Action, Crime, Thriller",5.2
Violent Night,2022,"Action, Comedy, Crime",6.7
Nobody,2021,"Action, Crime, Drama",7.4
Prisoners,2013,"Crime, Drama, Mystery",8.1
Catch Me If You Can,2002,"Biography, Crime, Drama",8.1
Minions: The Rise of Gru,2022,"Animation, Adventure, Comedy",6.6
Joker,2019,"Crime, Drama, Thriller",8.4
The Fast and the Furious,2001,"Action, Crime, Thriller",6.8
In Bruges,2008,"Comedy, Crime, Drama",7.9
No Country for Old Men,2007,"Crime, Drama, Thriller",8.2
Emily the Criminal,2022,"Crime, Drama, Thriller",6.7
Taxi Driver,1976,"Crime, Drama",8.2
Goodfellas,1990,"Biography, Crime, Drama",8.7
Death on the Nile,2022,"Crime, Drama, Mystery",6.3
Se7en,1995,"Crime, Drama, Mystery",8.6
Shazam! Fury of the Gods,2023,"Action, Adventure, Comedy",
The Silence of the Lambs,1991,"Crime, Drama, Thriller",8.6
Heat,1995,"Action, Crime, Drama",8.3
The Departed,2006,"Crime, Drama, Thriller",8.5
Transfusion,2023,"Crime, Drama, Thriller",5.2
Kingsman: The Golden Circle,2017,"Action, Adventure, Comedy",6.7
The Grand Budapest Hotel,2014,"Adventure, Comedy, Crime",8.1
See How They Run,2022,"Comedy, Crime, Mystery",6.5
The Green Mile,1999,"Crime, Drama, Fantasy",8.6
The Good Nurse,2022,"Biography, Crime, Drama",6.8
"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",8.1
The Godfather Part II,1974,"Crime, Drama",9.0
Irreversible,2002,"Crime, Drama, Mystery",7.3
The Stranger,2022,"Crime, Drama, Thriller",6.6
Léon: The Professional,1994,"Action, Crime, Drama",8.5
Murder Mystery,2019,"Action, Comedy, Crime",6.0
Sharper,2023,"Crime, Drama, Thriller",7.2
White Chicks,2004,"Comedy, Crime",5.7
12 Angry Men,1957,"Crime, Drama",9.0
Sicario,2015,"Action, Crime, Drama",7.6
The Little Things,2021,"Crime, Drama, Mystery",6.3
Scarface,1983,"Crime, Drama",8.3
A Clockwork Orange,1971,"Crime, Sci-Fi",8.3
Promising Young Woman,2020,"Crime, Drama, Mystery",7.5
From Dusk Till Dawn,1996,"Action, Crime, Horror",7.2
The Outfit,2022,"Crime, Drama, Mystery",7.1
The Outsiders,1983,"Crime, Drama",7.0
Murder Mystery 2,2023,"Action, Comedy, Crime",
The Bad Guys,2022,"Animation, Adventure, Comedy",6.8
Poker Face,2022,"Action, Crime, Thriller",5.1
The Usual Suspects,1995,"Crime, Drama, Mystery",8.5
John Wick: Chapter 3 - Parabellum,2019,"Action, Crime, Thriller",7.4
The Irishman,2019,"Biography, Crime, Drama",7.8
Baywatch,2017,"Action, Comedy, Crime",5.5
Wrath of Man,2021,"Action, Crime, Thriller",7.1
Reservoir Dogs,1992,"Crime, Thriller",8.3
Mystic River,2003,"Crime, Drama, Mystery",7.9
Enola Holmes 2,2022,"Action, Adventure, Crime",6.7
The Big Lebowski,1998,"Comedy, Crime",8.1
Marlowe,2022,"Crime, Mystery, Thriller",5.9
Snatch,2000,"Comedy, Crime",8.2
John Wick: Chapter 2,2017,"Action, Crime, Thriller",7.4
Once Upon a Time in America,1984,"Crime, Drama",8.3
American History X,1998,"Crime, Drama",8.5
American Hustle,2013,"Crime, Drama",7.2
Enough,2002,"Crime, Drama, Thriller",5.7
Orphan: First Kill,2022,"Crime, Drama, Horror",5.9
Heavenly Creatures,1994,"Biography, Crime, Drama",7.3
Road to Perdition,2002,"Crime, Drama, Thriller",7.7
"Argentina, 1985",2022,"Biography, Crime, Drama",7.6
Clue,1985,"Comedy, Crime, Mystery",7.2
Baby Driver,2017,"Action, Crime, Drama",7.6
Ambulance,2022,"Action, Crime, Drama",6.1
Joker: Folie à Deux,2024,"Action, Crime, Drama",
City of God,2002,"Crime, Drama",8.6
The Hateful Eight,2015,"Crime, Drama, Mystery",7.8
House of Gucci,2021,"Biography, Crime, Drama",6.6
Batman Begins,2005,"Action, Crime, Drama",8.2
The Equalizer,2014,"Action, Crime, Thriller",7.2
Wind River,2017,"Crime, Drama, Mystery",7.7
Nightmare Alley,2021,"Crime, Drama, Thriller",7.0
Lou,2022,"Action, Crime, Drama",6.1
Above Suspicion,2019,"Action, Biography, Crime",5.7
The Longest Yard,2005,"Comedy, Crime, Sport",6.4
RoboCop,1987,"Action, Crime, Sci-Fi",7.6
21 Jump Street,2012,"Action, Comedy, Crime",7.2
Kill Bill: Vol. 1,2003,"Action, Crime, Drama",8.2
Murder on the Orient Express,2017,"Crime, Drama, Mystery",6.5
Now You See Me,2013,"Crime, Mystery, Thriller",7.2
Zootopia,2016,"Animation, Adventure, Comedy",8.0
Casino,1995,"Crime, Drama",8.2
True Romance,1993,"Crime, Drama, Romance",7.9
Legend,2015,"Biography, Crime, Drama",6.9
Holy Spider,2022,"Crime, Drama, Thriller",7.3
Hell or High Water,2016,"Crime, Drama, Thriller",7.6
Bad Boys,1995,"Action, Comedy, Crime",6.8
Karen,2021,"Crime, Drama, Thriller",3.0
Nightcrawler,2014,"Crime, Drama, Thriller",7.8
Enola Holmes,2020,"Action, Adventure, Crime",6.6
Zodiac,2007,"Crime, Drama, Mystery",7.7
Primal Fear,1996,"Crime, Drama, Mystery",7.7
Thunderbolts,2024,"Action, Adventure, Crime",
My Cousin Vinny,1992,"Comedy, Crime",7.6
Fargo,1996,"Crime, Thriller",8.1
Spotlight,2015,"Biography, Crime, Drama",8.1
Knock Knock,2015,"Crime, Drama, Horror",4.9
We're the Millers,2013,"Comedy, Crime",7.0
Furious 7,2015,"Action, Crime, Thriller",7.1
Hangover Square,1945,"Crime, Drama, Music",7.4
Minority Report,2002,"Action, Crime, Mystery",7.6
Fast & Furious,2009,"Action, Crime, Thriller",6.5
Beverly Hills Cop,1984,"Action, Comedy, Crime",7.3
